SOBIC.001G429200	Sobic.001G429200	GO:0005524
SOBIC.001G432600	Sobic.001G432600	GO:0007165, GO:0016021
SOBIC.001G435500	Sobic.001G435500	GO:0005634, GO:0005829, GO:0009738, GO:0010468, GO:0046982, GO:0048586, GO:0051247, GO:2000905
SOBIC.001G438000	Sobic.001G438000	GO:0009408, GO:0009644, GO:0042542
SOBIC.001G438100	Sobic.001G438100	GO:0000038, GO:0005783, GO:0009409, GO:0009416, GO:0009922, GO:0010025, GO:0016021, GO:0022626, GO:0030497, GO:0042335
SOBIC.001G438800	Sobic.001G438800	GO:0005515, GO:0005634, GO:0005737
SOBIC.001G439700	Sobic.001G439700	GO:0003779, GO:0005622
SOBIC.001G440200	Sobic.001G440200	GO:0005886, GO:0007623, GO:0009409, GO:0009414, GO:0009644, GO:0009651, GO:0009737
SOBIC.001G441100	Sobic.001G441100	GO:0004842, GO:0005488, GO:0016567
SOBIC.001G442900	Sobic.001G442900	GO:0005829
SOBIC.001G443800	Sobic.001G443800	GO:0004351, GO:0005516, GO:0005829, GO:0006536, GO:0030170, GO:0046686
SOBIC.001G444500	Sobic.001G444500	GO:0004601, GO:0005576, GO:0006979, GO:0020037, GO:0042744, GO:0046872, GO:0055114, GO:0098869
SOBIC.001G445100	Sobic.001G445100	GO:0032259, GO:0046539
SOBIC.001G445400	Sobic.001G445400	GO:0004674, GO:0005524, GO:0006468, GO:0016021
SOBIC.001G447100	Sobic.001G447100	GO:0003950
SOBIC.001G447400	Sobic.001G447400	GO:0003700, GO:0005634, GO:0006355, GO:0043565
SOBIC.001G448900	Sobic.001G448900	GO:0004842, GO:0005515, GO:0016567, GO:0019005, GO:0031146
SOBIC.001G449000	Sobic.001G449000	GO:0009725, GO:0009744, GO:0016021
SOBIC.001G449600	Sobic.001G449600	GO:0001666, GO:0005618, GO:0005634, GO:0005829, GO:0005886, GO:0009506, GO:0019825, GO:0020037, GO:0042542, GO:0050832
SOBIC.001G451500	Sobic.001G451500	GO:0004356, GO:0005524, GO:0006542
SOBIC.001G454000	Sobic.001G454000	GO:0005524, GO:0009408, GO:0009644, GO:0042542
SOBIC.001G454401	Sobic.001G454401	GO:0005515
SOBIC.001G465100	Sobic.001G465100	GO:0010223, GO:0016787, GO:1901601, GO:1902348
SOBIC.001G466900	Sobic.001G466900	GO:0004553, GO:0005975, GO:0016021
SOBIC.001G469300	Sobic.001G469300	GO:0045735
SOBIC.001G472000	Sobic.001G472000	GO:0016491, GO:0055114
SOBIC.001G472600	Sobic.001G472600	GO:0003700, GO:0005634, GO:0006355, GO:0043565
SOBIC.001G473600	Sobic.001G473600	GO:0005515, GO:0008270
SOBIC.001G473700	Sobic.001G473700	GO:0004185, GO:0051603
SOBIC.001G474200	Sobic.001G474200	GO:0005525, GO:0007264
SOBIC.001G477100	Sobic.001G477100	GO:0006810, GO:0016021
SOBIC.001G481600	Sobic.001G481600	GO:0003677, GO:0003700, GO:0005634, GO:0006355
SOBIC.001G484400	Sobic.001G484400	GO:0000166, GO:0005887, GO:0009535, GO:0035434, GO:0043682, GO:0046872
SOBIC.001G486000	Sobic.001G486000	GO:0003677, GO:0003700, GO:0006355, GO:0010262, GO:0016602
SOBIC.001G489300	Sobic.001G489300	GO:0004674, GO:0005524, GO:0005634, GO:0005737, GO:0005886, GO:0006468
SOBIC.001G495700	Sobic.001G495700	GO:0000786, GO:0000790, GO:0003677, GO:0006342, GO:0046982
SOBIC.001G498000	Sobic.001G498000	GO:0004674, GO:0005524, GO:0005886, GO:0006468, GO:0009506
SOBIC.001G498200	Sobic.001G498200	GO:0003723, GO:0005634, GO:0005829
SOBIC.001G498400	Sobic.001G498400	GO:0003676, GO:0004004, GO:0005524, GO:0005635, GO:0005737, GO:0005886, GO:0006413, GO:0009408, GO:0009409, GO:0009737, GO:0010468, GO:0010501, GO:0016973
SOBIC.001G500200	Sobic.001G500200	GO:0004497, GO:0044550, GO:0055114, GO:0071949
SOBIC.001G504900	Sobic.001G504900	GO:0008219, GO:0009534, GO:0009816, GO:0009908, GO:0009941, GO:0010154, GO:0010277, GO:0015996, GO:0032441, GO:0046872, GO:0051537, GO:0055114
SOBIC.001G505200	Sobic.001G505200	GO:0005525, GO:0005777, GO:0007264, GO:0030742, GO:0080115
SOBIC.001G508466	Sobic.001G508466	GO:0005515, GO:0008270
SOBIC.001G508600	Sobic.001G508600	GO:0005515, GO:0008270
SOBIC.001G508700	Sobic.001G508700	GO:0016021
SOBIC.001G508800	Sobic.001G508800	GO:0005634, GO:0005829, GO:0005983, GO:0009414, GO:0016161
SOBIC.001G510000	Sobic.001G510000	GO:0004497, GO:0005506, GO:0016021, GO:0016705, GO:0020037, GO:0055114
SOBIC.001G510500	Sobic.001G510500	GO:0005515, GO:0005634, GO:0009416, GO:0009909
SOBIC.001G513300	Sobic.001G513300	GO:0005886, GO:0033743, GO:0055114
SOBIC.001G514500	Sobic.001G514500	GO:0005515
SOBIC.001G518800	Sobic.001G518800	GO:0005777, GO:0018858, GO:0019761
SOBIC.001G520900	Sobic.001G520900	GO:0004683, GO:0005509, GO:0005516, GO:0005524, GO:0005634, GO:0005737, GO:0005886, GO:0009738, GO:0009931, GO:0018105, GO:0035556, GO:0046777
SOBIC.001G523200	Sobic.001G523200	GO:0004674, GO:0005524, GO:0005737, GO:0006468, GO:0007165, GO:0009409, GO:0009611, GO:0009651, GO:0010555, GO:0043266, GO:0051365, GO:0055075
SOBIC.001G526000	Sobic.001G526000	GO:0016021
SOBIC.001G526900	Sobic.001G526900	GO:0046872, GO:0051213, GO:0055114
SOBIC.001G529700	Sobic.001G529700	GO:0004252, GO:0005618, GO:0006508
SOBIC.001G533900	Sobic.001G533900	GO:0016021, GO:0080167
SOBIC.001G544400	Sobic.001G544400	GO:0012511, GO:0016021, GO:0019915
SOBIC.002G017500	Sobic.002G017500	GO:0005515
SOBIC.002G018400	Sobic.002G018400	GO:0016021
SOBIC.002G019750	Sobic.002G019750	GO:0005515
SOBIC.002G026300	Sobic.002G026300	GO:0003872, GO:0005524, GO:0006002, GO:0006096, GO:0047334
SOBIC.002G031000	Sobic.002G031000	GO:0046983
SOBIC.002G033900	Sobic.002G033900	GO:0009522, GO:0009535, GO:0015979, GO:0016168
SOBIC.002G034600	Sobic.002G034600	GO:0005634, GO:0005829, GO:0008270, GO:0009524
SOBIC.002G035700	Sobic.002G035700	GO:0004364, GO:0005515, GO:0005737, GO:0006749, GO:0009407
SOBIC.002G037400	Sobic.002G037400	GO:0016702, GO:0055114
SOBIC.002G038600	Sobic.002G038600	GO:0008375, GO:0009506, GO:0016020
SOBIC.002G041100	Sobic.002G041100	GO:0006520, GO:0008483, GO:0009058, GO:0030170
SOBIC.002G041200	Sobic.002G041200	GO:0006520, GO:0008483, GO:0009058, GO:0030170
SOBIC.002G041533	Sobic.002G041533	GO:0008152, GO:0016787
SOBIC.002G047400	Sobic.002G047400	GO:0005515, GO:0009416, GO:0009535, GO:0009570, GO:0009575, GO:0009611, GO:0009941, GO:0015979
SOBIC.002G053100	Sobic.002G053100	GO:0000166, GO:0003676
SOBIC.002G055500	Sobic.002G055500	GO:0004842, GO:0005515, GO:0016567, GO:0019005, GO:0031146
SOBIC.002G055600	Sobic.002G055600	GO:0004568, GO:0005576, GO:0005975, GO:0006032, GO:0008061
SOBIC.002G055700	Sobic.002G055700	GO:0004568, GO:0005576, GO:0005975, GO:0006032, GO:0008061
SOBIC.002G058900	Sobic.002G058900	GO:0004842, GO:0005515, GO:0016567, GO:0019005, GO:0031146
SOBIC.002G062100	Sobic.002G062100	GO:0016021
SOBIC.002G064800	Sobic.002G064800	GO:0005215, GO:0006810, GO:0016021
SOBIC.002G067000	Sobic.002G067000	GO:0005524
SOBIC.002G068600	Sobic.002G068600	GO:0005506, GO:0016705, GO:0031418, GO:0055114
SOBIC.002G069300	Sobic.002G069300	GO:0004364, GO:0005737, GO:0006749
SOBIC.002G069800	Sobic.002G069800	GO:0005515
SOBIC.002G072000	Sobic.002G072000	GO:0043531
SOBIC.002G077500	Sobic.002G077500	GO:0004867, GO:0010951
SOBIC.002G078800	Sobic.002G078800	GO:0004867, GO:0010951
SOBIC.002G081300	Sobic.002G081300	GO:0003677, GO:0003700, GO:0005634, GO:0006355
SOBIC.002G090200	Sobic.002G090200	GO:0005829, GO:0008270, GO:0009451, GO:0047974
SOBIC.002G093800	Sobic.002G093800	GO:0009699, GO:0030246, GO:0042349, GO:0050790
SOBIC.002G100000	Sobic.002G100000	GO:0004842, GO:0005515, GO:0016567, GO:0019005, GO:0031146
SOBIC.002G104300	Sobic.002G104300	GO:0005634, GO:0006334, GO:0033186
SOBIC.002G105900	Sobic.002G105900	GO:0005515
SOBIC.002G108200	Sobic.002G108200	GO:0005515
SOBIC.002G111400	Sobic.002G111400	GO:0005737, GO:0030001, GO:0046914, GO:0046916
SOBIC.002G112400	Sobic.002G112400	GO:0009535, GO:0009773, GO:0016730, GO:0042802
SOBIC.002G113300	Sobic.002G113300	GO:0016021
SOBIC.002G114900	Sobic.002G114900	GO:0000055, GO:0000056, GO:0005049, GO:0005634, GO:0005737, GO:0008536, GO:0046825
SOBIC.002G118300	Sobic.002G118300	GO:0016021
SOBIC.002G118600	Sobic.002G118600	GO:0005515
