"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.004G138400.v3.2",32.0835559517554,1.54877442788938,0.370757269829755,4.17732720008579,2.94954584537392e-05,0.000188698132727293
"Sobic.004G139400.v3.2",37.2733412978976,1.23244519957174,0.262288431875749,4.6988164546867,2.61673487242875e-06,2.23339154716849e-05
"Sobic.004G140000.v3.2",119.668396704894,1.09742954360977,0.199787837587842,5.49297473189403,3.9521935770542e-08,5.16797059750489e-07
"Sobic.004G141000.v3.2",29429.6724821659,1.00147449486877,0.215190839444818,4.65388999574762,3.25730626756635e-06,2.71345761898511e-05
"Sobic.004G141200.v3.2",159.902548472415,2.37727064053012,0.510806852025557,4.65395213690512,3.25632422260381e-06,2.71344280793814e-05
"Sobic.004G142500.v3.2",8343.12449161114,1.17330687484566,0.372682817927416,3.14827198466169,0.0016423879942256,0.00622867899696878
"Sobic.004G144500.v3.2",901.922770530304,1.1074865745293,0.148904390779004,7.43756828616941,1.02555573718309e-13,3.99711058785762e-12
"Sobic.004G145200.v3.2",625.08975312838,1.05345423139658,0.228869179649392,4.60286628811438,4.16715783853506e-06,3.38619178678534e-05
"Sobic.004G146000.v3.2",4638.62670964693,1.90314969362585,0.258832490871426,7.35282377887878,1.94062716110621e-13,7.2715377248374e-12
"Sobic.004G146800.v3.2",1792.4623363952,1.10733532845936,0.104528377620876,10.5936335535184,3.18965111772742e-26,6.36572925197514e-24
"Sobic.004G152000.v3.2",429.568147760649,1.18014893957735,0.265229051261746,4.44954628447809,8.60518844243282e-06,6.41796985873468e-05
"Sobic.004G153900.v3.2",49.7356941442377,3.15938167461397,1.30053124931087,2.42930085400721,0.0151279732061962,0.0413743965421674
"Sobic.004G155200.v3.2",1370.49636691904,1.09527294594439,0.24156465361426,4.53407785268684,5.7855688107939e-06,4.51486151790739e-05
"Sobic.004G157300.v3.2",2474.58299866631,1.41413056463253,0.361477784629971,3.91208152965782,9.15040074536923e-05,0.000506836492578881
"Sobic.004G157700.v3.2",204.884537683465,1.48535624062247,0.266102509493042,5.58189490002277,2.37912138447114e-08,3.24677380014635e-07
"Sobic.004G162400.v3.2",1015.96068198078,1.63289783381866,0.225671629582455,7.23572491960953,4.63049032045185e-13,1.60470440415659e-11
"Sobic.004G162900.v3.2",107.897312070851,1.1265798884469,0.32437448989906,3.47308411582389,0.000514514074302834,0.00228402367106511
