"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.010G016500.v3.2",305.447185372684,-1.74017044204885,0.568916072278124,-3.05874719812475,0.00222264622267016,0.00492953695432147
"Sobic.010G018300.v3.2",60.3626863783806,-3.4505524269819,0.456297133360079,-7.56207342696354,3.96694325377345e-14,3.67817029252138e-13
"Sobic.010G019100.v3.2",931.830502169058,-1.50282158402004,0.212188900240671,-7.08247030035735,1.41607117633848e-12,1.12849193411234e-11
"Sobic.010G019200.v3.2",3.85067392865252,-5.43852114076577,1.46956879066928,-3.70075982512458,0.000214954856111738,0.000577066250972984
"Sobic.010G019300.v3.2",453.593898223741,-1.24277536755722,0.178009503723661,-6.98151133259986,2.92021345709094e-12,2.2606249144359e-11
"Sobic.010G019500.v3.2",106.159487517147,-2.8773034712978,0.268353794592891,-10.7220524891882,8.02034775413438e-27,2.11349788338287e-25
"Sobic.010G020200.v3.2",449.993167497048,-6.46638908453175,0.351552606471112,-18.3938021380112,1.47279824500037e-75,4.06393184968998e-73
"Sobic.010G021000.v3.2",332.55337841901,-1.16079729728107,0.161355188892488,-7.19405000389866,6.28971434717279e-13,5.19113985104451e-12
"Sobic.010G021300.v3.2",3050.2394805556,-1.12814112097686,0.346568813721995,-3.25517206485235,0.00113323685869579,0.00266234123078127
"Sobic.010G021401.v3.2",6792.01263181533,-1.1135748381696,0.219273939507214,-5.07846413792809,3.80498234193094e-07,1.57609091031167e-06
"Sobic.010G021500.v3.2",448.126844246184,-1.20913003401425,0.157087541285542,-7.69717333481199,1.39109138565528e-14,1.34637940958346e-13
"Sobic.010G022200.v3.2",1645.41244757051,-3.33735530528524,0.158311967607478,-21.0808781908387,1.19152147652259e-98,8.14121233613543e-96
"Sobic.010G022600.v3.2",66.2974188688157,-4.23135705473821,0.326062313423445,-12.9771423453133,1.64919712132738e-38,9.6783251105791e-37
"Sobic.010G023000.v3.2",8.13313866689889,-2.32902714449394,0.734507484393528,-3.17086917966123,0.0015198357173568,0.00348165766592066
"Sobic.010G023066.v3.2",6.82966881724271,-2.48563551474654,0.7669147860611,-3.24108435503356,0.00119075941981414,0.0027883494957492
"Sobic.010G023132.v3.2",20.9773500544134,-4.15122575059668,0.630041553533793,-6.58881263833025,4.43357847616775e-11,3.00747085494721e-10
"Sobic.010G023200.v3.2",372.204675472194,-2.18467081506437,0.354697148820816,-6.15925676969005,7.30871408509111e-10,4.29791328073483e-09
"Sobic.010G023300.v3.2",387.774731024767,-2.33241867734865,0.354581529143848,-6.57794748356005,4.7698662531353e-11,3.22072592626409e-10
"Sobic.010G024600.v3.2",2595.96471388405,-3.59153189215548,0.142879754114465,-25.1367446312807,1.97321484470853e-139,3.33090272932946e-136
"Sobic.010G025200.v3.2",22.9269439142181,-3.38383793992134,0.487839762752253,-6.93637173163313,4.02298175126906e-12,3.0753198539203e-11
"Sobic.010G025300.v3.2",3890.0559870541,-1.89765551518058,0.23687145849345,-8.01133039518586,1.13474145855815e-15,1.21370389997179e-14
"Sobic.010G025600.v3.2",34.5089599759986,-2.80991372347982,0.784958769378891,-3.57969594467134,0.000343994228836134,0.000890135472038821
"Sobic.010G026300.v3.2",2108.37199500672,-2.0060080649002,0.126378446864544,-15.8730235627147,9.74319444750817e-57,1.31887005217048e-54
"Sobic.010G026500.v3.2",1205.00235922343,-3.62719306750422,0.306040345199038,-11.8520094634752,2.10091621906455e-32,8.29298387049456e-31
"Sobic.010G027200.v3.2",1489.8843490025,-1.42032215982406,0.279569530399844,-5.08038968979449,3.76661403211705e-07,1.56155046055566e-06
"Sobic.010G027800.v3.2",1489.3617343718,-1.03555621995278,0.0873668469780846,-11.8529654642629,2.07707988990482e-32,8.21018754829181e-31
"Sobic.010G028366.v3.2",13.7438324463936,-2.08616652220989,0.550553205402615,-3.78921873805873,0.000151121805421785,0.000416994466364323
