"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"163112","Sobic.008G022000.v3.2","WT_seed","plasma_seed","OK",3.66897,0,-Inf,NA,0.0173,0.0331974,"yes"
"163117","Sobic.008G022500.v3.2","WT_seed","plasma_seed","OK",2.72108,0.836587,-1.70159,-3.0235,5e-05,0.00014463,"yes"
"163132","Sobic.008G024300.v3.2","WT_seed","plasma_seed","OK",6.39546,3.04603,-1.07012,-2.40173,1e-04,0.000279923,"yes"
"163167","Sobic.008G027700.v3.2","WT_seed","plasma_seed","OK",5.28273,0.118887,-5.47362,-3.95161,0.0042,0.00904904,"yes"
"163182","Sobic.008G028900.v3.2","WT_seed","plasma_seed","OK",0.650219,0.238854,-1.4448,-1.35181,0.03205,0.0582761,"no"
"163198","Sobic.008G030501.v3.2","WT_seed","plasma_seed","OK",6.94734,1.47378,-2.23694,-3.21881,5e-05,0.00014463,"yes"
"163199","Sobic.008G030600.v3.2","WT_seed","plasma_seed","OK",17.6875,7.82849,-1.17592,-3.17284,5e-05,0.00014463,"yes"
"163208","Sobic.008G031600.v3.2","WT_seed","plasma_seed","OK",0.703554,0.187806,-1.90542,-1.97173,0.00185,0.00425761,"yes"
"163220","Sobic.008G032800.v3.2","WT_seed","plasma_seed","OK",83.3982,37.3096,-1.16047,-3.24219,5e-05,0.00014463,"yes"
"163240","Sobic.008G034500.v3.2","WT_seed","plasma_seed","OK",1.74479,0.788951,-1.14504,-1.4163,0.0161,0.0310903,"yes"
"163247","Sobic.008G035400.v3.2","WT_seed","plasma_seed","OK",23.545,1.25603,-4.22848,-4.56114,5e-05,0.00014463,"yes"
"163253","Sobic.008G035800.v3.2","WT_seed","plasma_seed","OK",5.14034,2.54849,-1.01222,-1.94764,0.0011,0.00263425,"yes"
"163254","Sobic.008G035900.v3.2","WT_seed","plasma_seed","OK",0.606319,0.102173,-2.56906,-2.32694,0.0044,0.00944235,"yes"
"163263","Sobic.008G036800.v3.2","WT_seed","plasma_seed","OK",4.22162,0,-Inf,NA,5e-05,0.00014463,"yes"
"163270","Sobic.008G037500.v3.2","WT_seed","plasma_seed","OK",0.825594,0.194708,-2.08412,-2.0161,0.00545,0.0114914,"yes"
"163280","Sobic.008G038500.v3.2","WT_seed","plasma_seed","OK",17.731,6.85931,-1.37014,-3.37418,5e-05,0.00014463,"yes"
"163281","Sobic.008G038600.v3.2","WT_seed","plasma_seed","OK",45.9384,22.2025,-1.04898,-3.0259,5e-05,0.00014463,"yes"
"163294","Sobic.008G039800.v3.2","WT_seed","plasma_seed","OK",2.80838,1.07922,-1.37974,-2.53531,5e-05,0.00014463,"yes"
"163305","Sobic.008G040900.v3.2","WT_seed","plasma_seed","OK",1.96619,0.966673,-1.0243,-1.7384,0.0024,0.00542,"yes"
"163309","Sobic.008G041400.v3.2","WT_seed","plasma_seed","OK",1.23465,0.434485,-1.50672,-2.09957,4e-04,0.00102824,"yes"
"163315","Sobic.008G041900.v3.2","WT_seed","plasma_seed","OK",4.54664,1.05165,-2.11214,-3.52921,5e-05,0.00014463,"yes"
"163317","Sobic.008G042100.v3.2","WT_seed","plasma_seed","OK",0.741972,0.29895,-1.31146,-1.52895,0.0148,0.0287741,"yes"
"163318","Sobic.008G042200.v3.2","WT_seed","plasma_seed","OK",0.676821,0.148406,-2.18922,-2.13484,0.0037,0.00805939,"yes"
"163326","Sobic.008G042900.v3.2","WT_seed","plasma_seed","OK",0.640545,0.104366,-2.61765,-2.12286,0.0095,0.0191698,"yes"
"163368","Sobic.008G046900.v3.2","WT_seed","plasma_seed","OK",56.4929,18.9715,-1.57424,-3.71842,5e-05,0.00014463,"yes"
"163409","Sobic.008G051300.v3.2","WT_seed","plasma_seed","OK",1.6898,0.629229,-1.4252,-2.30098,0.00025,0.00066314,"yes"
"163416","Sobic.008G052000.v3.2","WT_seed","plasma_seed","OK",1.25205,0.473824,-1.40187,-2.17019,0.00055,0.00138449,"yes"
"163418","Sobic.008G052300.v3.2","WT_seed","plasma_seed","OK",14.4143,3.93151,-1.87435,-4.80669,5e-05,0.00014463,"yes"
"163424","Sobic.008G052800.v3.2","WT_seed","plasma_seed","OK",3.69081,1.14601,-1.68731,-2.43754,3e-04,0.000787139,"yes"
"163446","Sobic.008G054900.v3.2","WT_seed","plasma_seed","OK",3.50681,1.47813,-1.24639,-1.82259,0.00245,0.00552606,"yes"
"163448","Sobic.008G055100.v3.2","WT_seed","plasma_seed","OK",2.6268,1.26419,-1.05509,-1.4146,0.0166,0.0319803,"yes"
"163469","Sobic.008G057100.v3.2","WT_seed","plasma_seed","OK",6.21296,2.77837,-1.16104,-2.58095,5e-05,0.00014463,"yes"
"163477","Sobic.008G057900.v3.2","WT_seed","plasma_seed","OK",39.4152,16.9085,-1.22101,-3.36059,5e-05,0.00014463,"yes"
"163498","Sobic.008G059900.v3.2","WT_seed","plasma_seed","OK",14.0422,4.21658,-1.73562,-4.06696,5e-05,0.00014463,"yes"
