"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"65524","Sobic.010G031300.v3.2","seed_wt","seed_dry","OK",48.0961,1.26068,-5.25365,-3.67261,5e-05,0.000226883,"yes"
"65525","Sobic.010G031400.v3.2","seed_wt","seed_dry","OK",8.81634,0,-Inf,NA,5e-05,0.000226883,"yes"
"65526","Sobic.010G031500.v3.2","seed_wt","seed_dry","OK",31.2304,11.3879,-1.45545,-1.60638,0.00635,0.0171784,"yes"
"65530","Sobic.010G031900.v3.2","seed_wt","seed_dry","OK",1095.26,130.209,-3.07238,-5.47683,5e-05,0.000226883,"yes"
"65531","Sobic.010G032000.v3.2","seed_wt","seed_dry","OK",1139.83,15.8298,-6.17003,-9.26299,5e-05,0.000226883,"yes"
"65532","Sobic.010G032100.v3.2","seed_wt","seed_dry","OK",248.758,66.8051,-1.89671,-3.6042,5e-05,0.000226883,"yes"
"65535","Sobic.010G032400.v3.2","seed_wt","seed_dry","OK",26.1619,9.08189,-1.5264,-2.68914,1e-04,0.000431629,"yes"
"65538","Sobic.010G032700.v3.2","seed_wt","seed_dry","OK",27.0286,1.0594,-4.67316,-4.85406,5e-05,0.000226883,"yes"
"65540","Sobic.010G032900.v3.2","seed_wt","seed_dry","OK",6.73765,1.98704,-1.76162,-2.58655,5e-05,0.000226883,"yes"
"65541","Sobic.010G033000.v3.2","seed_wt","seed_dry","OK",3.83526,1.04386,-1.8774,-1.78969,0.00425,0.0121407,"yes"
"65547","Sobic.010G033700.v3.2","seed_wt","seed_dry","OK",1.7635,0.533403,-1.72514,-1.76246,0.0057,0.015652,"yes"
"65556","Sobic.010G034500.v3.2","seed_wt","seed_dry","OK",5.29348,1.28909,-2.03786,-2.27391,8e-04,0.00280389,"yes"
"65572","Sobic.010G036100.v3.2","seed_wt","seed_dry","OK",1.44019,0,-Inf,NA,0.01,0.0254614,"yes"
"65585","Sobic.010G037300.v3.2","seed_wt","seed_dry","OK",12.5935,3.78065,-1.73597,-2.6702,1e-04,0.000431629,"yes"
"65588","Sobic.010G037600.v3.2","seed_wt","seed_dry","OK",4.58935,1.89971,-1.27251,-1.88237,0.00145,0.0047399,"yes"
"65593","Sobic.010G038100.v3.2","seed_wt","seed_dry","OK",3.02644,1.11898,-1.43544,-1.20723,0.04625,0.094186,"no"
"65605","Sobic.010G039200.v3.2","seed_wt","seed_dry","OK",13.8458,2.35662,-2.55466,-3.29739,5e-05,0.000226883,"yes"
"65606","Sobic.010G039300.v3.2","seed_wt","seed_dry","OK",8.2115,2.36082,-1.79836,-2.65991,5e-05,0.000226883,"yes"
"65610","Sobic.010G039700.v3.2","seed_wt","seed_dry","OK",1.88355,0.206668,-3.18807,-2.01449,0.02505,0.0560475,"no"
"65623","Sobic.010G041000.v3.2","seed_wt","seed_dry","OK",3.84685,1.49691,-1.36169,-1.77605,0.00315,0.00935673,"yes"
"65633","Sobic.010G042000.v3.2","seed_wt","seed_dry","OK",4.84359,2.11469,-1.19563,-1.40656,0.01915,0.0445292,"yes"
"65639","Sobic.010G042600.v3.2","seed_wt","seed_dry","OK",5.09247,2.18233,-1.22249,-1.61446,0.00785,0.02065,"yes"
"65659","Sobic.010G044400.v3.2","seed_wt","seed_dry","OK",8.98012,0.378179,-4.56959,-3.2858,0.00825,0.0215672,"yes"
"65664","Sobic.010G044900.v3.2","seed_wt","seed_dry","OK",12.9915,0.577499,-4.49161,-4.22636,5e-05,0.000226883,"yes"
"65667","Sobic.010G045200.v3.2","seed_wt","seed_dry","OK",10.4143,0.959568,-3.44003,-3.34001,5e-05,0.000226883,"yes"
"65668","Sobic.010G045300.v3.2","seed_wt","seed_dry","OK",46.6018,20.2113,-1.20522,-1.294,0.0245,0.0550064,"no"
"65681","Sobic.010G046700.v3.2","seed_wt","seed_dry","OK",1.59749,0.174333,-3.19588,-2.60033,0.0037,0.01076,"yes"
"65684","Sobic.010G047000.v3.2","seed_wt","seed_dry","OK",29.2304,2.64807,-3.46445,-4.25022,5e-05,0.000226883,"yes"
"65685","Sobic.010G047100.v3.2","seed_wt","seed_dry","OK",86.4649,9.58564,-3.17317,-4.51692,5e-05,0.000226883,"yes"
"65725","Sobic.010G050800.v3.2","seed_wt","seed_dry","OK",2.19432,0.625898,-1.80978,-1.60874,0.01325,0.0324475,"yes"
"65729","Sobic.010G051200.v3.2","seed_wt","seed_dry","OK",10.2718,2.16731,-2.24471,-3.4628,5e-05,0.000226883,"yes"
"65739","Sobic.010G052200.v3.2","seed_wt","seed_dry","OK",25.2437,2.87845,-3.13256,-4.06107,5e-05,0.000226883,"yes"
"65741","Sobic.010G052400.v3.2","seed_wt","seed_dry","OK",3.34806,1.091,-1.61768,-2.07375,8e-04,0.00280389,"yes"
"65767","Sobic.010G054600.v3.2","seed_wt","seed_dry","OK",13.5041,4.02871,-1.74501,-2.82525,5e-05,0.000226883,"yes"
"65782","Sobic.010G056100.v3.2","seed_wt","seed_dry","OK",6.53208,2.26296,-1.52933,-2.3269,3e-04,0.00116681,"yes"
